id,startstop,ligne,endstop,dir,ridedist
531,2,TX8,506,2,4275
532,26,BRT1,29,2,675
533,45,TX1,506,1,2075
534,63,TX5,37,1,774
535,63,TX5,29,2,750
536,63,TX5,4,2,1350
537,9371,BRT2,14,1,975
538,9371,BRT4,14,1,1050
539,4,TX1,506,1,1600
540,408,L27,741,1,2825
541,408,L5,741,1,2849
542,462,L22,464,2,749
543,462,L27,464,2,749
544,462,L43,464,2,724
545,462,L5,32,2,6849
546,338,L2,344,1,1650
547,462,L5,464,2,724
548,396,L21,57,1,1850
549,30,BRT1,28,2,1025
550,408,TX5,58,2,775
551,408,TX8,2,2,6925
552,408,TX8,58,2,775
553,12,L1,17,1,2325
554,311,L9,368,1,9299
555,12,L1,18,1,2799
556,66,L6,388,2,7099
557,12,L15,17,2,2300
558,12,L15,215,2,5050
559,12,L15,66,2,2825
560,12,L15,32,2,4225
561,32,TX10,368,1,4825
562,12,L38,17,2,2325
563,12,L38,18,2,2800
564,12,L44,17,2,2324
565,18,L9,368,1,9899
566,23,L1,29,2,2875
567,64,L9,368,1,11299
568,23,L1,1,2,5749
569,23,L1,27,2,2274
570,988,L6,388,2,9174
571,23,L1,32,2,4874
572,23,L38,1160,1,1974
573,111,L7,1673,2,12275
574,1627,L441,17,2,2299
575,504,L23,29,2,3924
576,64,L9,365,1,9449
577,504,L23,27,2,3324
578,988,L6,391,2,11149
579,504,L23,180,2,5549
580,24,BRT2,7771,1,8900
581,180,TX4,365,1,5324
582,504,L3,982,2,1374
583,1656,L9,365,1,13799
584,504,L3,1,2,9374
585,380,L20,391,2,6900
586,1656,L6,391,2,14324
587,504,L3,66,2,7099
588,18,TX4,365,1,5324
589,253,L16,29,2,3775
590,253,L16,1,2,7374
591,253,L16,27,2,3175
592,253,L16,66,2,5100
593,1677,L9,321,2,5675
594,19,L15,216,1,2325
595,19,L44,216,1,2300
596,19,L441,1578,1,2300
597,19,L38,1181,1,2199
598,1677,L9,34,2,7299
599,5,L1,11,1,2499
600,19,L1,23,2,1850
601,1677,TX4,18,2,3749
602,18,L15,216,1,3125
603,1677,TX4,1508,2,3749
604,1508,L44,216,1,2824
605,1508,L441,1578,1,2824
606,18,L38,1181,1,2974
607,18,L1,23,2,2650
608,1677,TX7,321,2,3375
609,1677,TX7,1508,2,3650
610,252,L16,1,2,7649
611,380,L20,382,2,974
612,506,L25,382,1,1024
613,252,L16,27,2,3450
614,988,L6,382,2,5249
615,506,251,382,1,1024
616,252,L16,66,2,5374
617,24,BRT2,2301,1,3800
618,252,L16,32,2,6774
619,32,TX6,374,1,1000
620,32,TX10,374,1,1150
621,1656,L6,382,2,8424
