id,startstop,ligne,endstop,dir,ridedist
577,10772,TX4,10180,2,1149
578,10772,TX4,10018,2,1149
579,10772,TX9,10180,2,1100
580,10772,TX9,10018,2,1100
581,10772,TX7,10180,2,1100
582,10772,TX7,10018,2,1100
583,10112,L12,10032,1,5900
584,10167,L36,11161,1,2375
585,10175,L13,10013,2,3525
586,10022,L1,10001,2,6374
587,10175,L13,10180,2,5475
588,10066,L10,10001,2,2249
589,10066,L14,10001,2,2274
590,10066,L16,10001,2,2274
591,10066,L3,10001,2,2275
592,10175,L13,10017,2,5275
593,10322,L4,10001,2,3100
594,10066,L5,10001,2,2275
595,10066,L66,10001,2,2275
596,10013,L15,10215,2,4500
597,10175,L13,10177,2,1100
598,10177,L11,10032,2,4625
599,10297,L17,10032,2,2174
600,10066,L6,10032,2,1424
601,44,BRT2,34,1,1900
602,44,BRT4,34,1,1925
603,10017,TX1,10215,1,2099
604,10175,L13,10037,2,7975
605,10037,TX8,10215,2,4350
606,10175,L18,10321,2,3249
607,10019,L1,10001,2,7599
608,10175,L18,10180,2,3999
609,10175,L18,10320,2,2624
610,10320,L4,10001,2,3975
611,10175,L18,10322,2,3499
612,10016,L15,10215,2,3150
613,10175,L18,10177,2,1100
614,10175,L18,10086,2,7324
615,10083,L11,10002,1,2524
616,10083,L12,10002,2,2525
617,10175,L18,10088,2,10274
618,10081,L33,10506,2,4275
619,10083,L20,10380,2,1875
620,4252,BRT4,66,2,4624
621,10321,TX1,10215,1,2349
622,10088,TX6,10215,2,4400
623,10175,L18,10324,2,6924
624,10324,TX8,10215,2,1799
625,10175,L36,10321,2,2450
626,10175,L36,10619,2,3024
627,10175,L36,10320,2,1824
628,10175,L36,10322,2,2699
629,10175,L36,10317,2,825
630,10317,L11,10032,2,4100
631,10175,L7,11692,2,5900
632,10353,L2,10001,2,3674
633,10175,L7,11328,2,2600
634,11345,L4,10001,2,4200
635,10175,L7,10177,2,1075
636,10175,L7,11691,2,5550
637,10294,L17,10032,2,3849
638,10175,L7,10364,2,8375
639,10364,L6,10002,1,8449
640,10175,L7,10366,2,9675
641,10366,TX10,10215,2,5500
642,3421,BRT3,95,1,7900
643,10245,L16,10001,2,11324
644,3421,BRT3,73,1,4150
645,10219,L15,10215,2,6800
646,3422,BRT3,65,2,3124
647,10018,L1,10001,2,8399
648,3422,BRT3,8842,2,974
649,3422,BRT3,2092,2,2449
650,10017,L15,10215,2,2750
651,10318,L11,10032,2,3800
652,3422,BRT3,6472,2,1849
653,10175,TX2,10016,2,2649
654,10175,TX2,10018,2,2899
655,10175,TX2,11328,2,1649
657,10175,TX2,10260,2,2499
658,10296,L17,10032,2,2524
659,10175,TX2,10180,2,2899
660,10175,TX2,10321,2,2449
661,10252,L16,10029,2,4050
662,10065,L9,11695,1,7349
663,10252,L16,10066,2,5374
664,10018,TX4,11677,1,3649
665,10018,TX7,11677,1,3749
666,10504,L23,10029,2,3924
667,10504,L23,10180,2,5549
668,10180,TX4,11677,1,3649
669,10180,TX7,11677,1,3749
670,10504,L3,10982,2,1374
671,11656,L9,11695,1,12174
672,10504,L3,10066,2,7099
673,10180,L22,10410,1,6049
674,10180,L27,10410,1,6049
675,10018,L43,10410,1,6375
676,10018,L5,10410,1,6375
677,10180,L13,10182,2,7224
678,10771,TX5,10410,1,5750
679,10017,L13,10182,2,7424
680,10295,L17,10066,2,1724
682,10295,L17,10032,2,3124
683,10032,TX8,10410,1,7300
687,10772,TX4,10322,2,1049
688,10016,L13,10182,2,7824
690,10772,TX9,10322,2,1049
692,10772,TX7,10322,2,1050
694,10772,TX13,125611,1,2250
695,10177,L13,10182,2,11599
696,10369,L6,10376,1,4549
697,10387,TX10,10506,2,4350
698,10369,L7,11681,1,5774
699,10352,L2,10001,2,4125
700,10369,L7,11342,1,7724
701,11342,L4,10001,2,5325
703,10387,L20,10389,2,1225
704,57,BRT2,66,2,5925
705,10387,L6,10389,2,1249
706,11703,L9,10322,2,10099
707,11703,L9,10321,2,9849
708,11703,L9,10180,2,10624
709,11703,L9,11681,2,5899
710,11703,L9,11342,2,7874
711,11703,L9,10389,2,1349
712,10321,TX1,10506,1,2549
713,11703,L9,10037,2,13099
714,10037,TX8,10506,2,4250
716,10387,TX14,10081,2,6799
717,10081,L20,10380,2,4850
718,10387,TX14,10375,2,3599
720,10387,TX14,10543,2,1999
721,10618,L25,10506,2,2550
725,10618,251,10506,2,2574
727,10387,TX14,10507,2,3649
728,6232,BRT4,66,2,924
729,10387,TX14,2321,2,3149
730,2321,TX6,10506,2,1000
731,10363,L6,10003,1,9049
732,10363,L20,10376,1,7724
735,10363,L20,10085,1,8624
736,10084,L11,10003,1,2149
737,10084,L12,10003,2,2150
745,10363,L20,10375,1,7224
746,6232,BRT4,9392,2,1974
747,10376,TX1,10003,2,900
748,10862,L7,10314,1,5950
749,10319,L11,10031,2,2875
750,10862,L7,10168,1,8575
751,10111,L12,10031,1,5750
752,10862,L7,11681,1,2625
753,10294,L17,10031,2,3325
754,10862,L7,11342,1,4575
755,11342,L4,10031,2,3924
756,10352,L2,10361,2,2625
757,10862,L9,10321,2,6574
758,10019,L1,10031,2,6199
759,10862,L9,10180,2,7349
760,10066,L10,10031,2,849
761,10862,L9,10320,2,5949
762,10320,L11,10031,2,2575
763,10862,L9,10322,2,6824
764,10016,L12,10031,1,1774
765,10066,L14,10031,2,874
766,10016,L15,10031,2,1799
767,10066,L16,10031,2,875
768,10862,L9,11681,2,2624
769,10066,L3,10031,2,874
770,10862,L9,11342,2,4599
771,10066,L5,10031,2,875
772,10066,L6,10031,2,874
773,10066,L66,10031,2,875
774,44,BRT2,9391,1,925
775,44,BRT4,9391,1,875
776,10321,TX1,10003,1,1649
777,10862,TX4,10321,2,4299
778,10862,TX4,10018,2,4599
779,10321,L11,10031,2,1949
780,10862,TX4,10322,2,4499
781,10862,TX4,10262,2,3049
782,10321,L4,10031,2,1949
783,10862,TX4,10354,2,1950
784,10354,L2,10361,2,1800
785,10862,TX4,10180,2,4599
786,10862,TX7,10321,2,4200
787,10862,TX7,10018,2,4450
788,10862,TX7,10322,2,4400
789,10862,TX7,10262,2,2900
790,10862,TX7,10354,2,1949
791,10862,TX7,10180,2,4450
792,10862,TX13,125626,1,4850
793,125626,L11,10031,2,5125
794,10862,TX13,10262,1,2950
795,10862,TX13,11331,1,4300
796,10862,TX13,10354,1,1949
797,10344,L2,10347,1,1500
798,11679,L9,11651,2,12775
799,10356,L2,10032,2,2125
800,10002,L6,11651,1,8424
801,10002,L10,10046,1,8600
802,11692,L7,10364,2,2474
804,11692,L9,10364,1,2474
805,10243,L16,10029,2,8725
806,10034,L10,10043,1,4474
807,10034,L13,10043,2,4474
808,10034,L22,10407,1,4100
809,10034,L27,10407,1,4100
810,10034,L43,10407,1,4100
811,10034,L5,10407,1,4100
812,125622,L11,10066,2,6000
813,10018,L3,10955,1,5600
814,10244,L16,10001,2,11774
815,96,BRT3,74,2,3750
816,96,BRT3,65,2,11024
817,96,BRT3,8842,2,8874
818,96,BRT3,6472,2,9749
819,10321,TX1,10380,1,2549
820,10349,TX4,10261,2,1399
821,10349,TX7,10261,2,1299
822,10349,TX13,10261,1,1000
829,11680,L7,11682,1,1649
830,11682,TX9,10261,2,1200
831,11680,L9,10321,2,4175
836,11680,L9,10180,2,4949
837,11680,L9,10320,2,3550
839,11680,L9,11682,2,1624
840,10353,L2,10032,2,2800
841,10002,L17,10261,1,3024
842,10001,L5,10186,1,9625
843,10376,L6,10188,1,9849
845,10376,L6,10018,1,2424
846,10180,L13,10186,2,8024
847,10180,L27,10186,1,7500
850,10215,L15,10018,1,1824
851,10001,L1,10005,1,2174
852,10034,L13,10186,2,7149
853,10034,L27,10186,1,6650
854,10001,L10,10048,1,9700
855,10051,L13,10155,1,1100
856,10001,L10,10018,1,1775
857,10001,L10,10047,1,9375
860,10001,L14,10018,1,1775
861,10001,L16,10018,1,1775
862,10001,L3,10018,1,1775
863,10001,L3,10764,1,13500
864,10764,L27,10769,2,1774
865,10764,L5,10769,2,1749
866,10001,L4,10018,1,1775
867,10001,L66,10018,1,1775
868,66,BRT2,65,2,1900
869,66,BRT4,65,2,1925
870,10380,TX1,10180,2,2150
871,10380,TX8,10037,1,4250
872,10037,L13,10186,2,5525
873,10037,L27,10186,1,5025
874,11677,L9,11651,2,13500
875,11677,L7,10163,1,6025
876,11695,L7,10364,2,1049
877,11695,L9,10364,1,1049
878,11677,TX4,10862,1,849
879,11677,TX4,10018,2,3749
880,11677,TX4,10322,2,3649
881,11677,TX4,10180,2,3749
882,10180,L27,10187,1,7850
883,10018,L5,10187,1,8200
884,11677,TX7,10862,1,849
885,11677,TX7,10018,2,3600
886,11677,TX7,10322,2,3550
887,11677,TX7,10180,2,3600
888,11677,TX13,125611,1,4450
889,11677,TX13,10363,2,849
890,10300,L18,10078,1,3649
891,10302,L20,10078,2,2825
892,10302,L21,10078,2,2824
893,10071,L11,10078,1,2200
894,10331,L21,10393,1,3624
895,10393,TX11,10078,2,5400
896,10300,TX15,10121,1,1249
897,10134,L12,10078,2,1524
898,10134,L33,10078,2,1499
899,10300,TX15,10122,1,1350
900,54,BRT4,7012,2,1799
902,10376,L6,10949,1,5274
903,10001,L3,10949,1,4550
904,10001,L10,10044,1,8025
905,11654,L6,10987,2,3475
906,10001,L10,10036,1,3800
907,10063,L30,10990,2,907
908,10001,L14,10036,1,3800
909,10001,L16,10227,1,6600
910,10980,L3,10987,2,3049
911,10001,L16,10223,1,4875
912,10258,L30,10990,1,1049
913,10001,L5,10744,1,11350
914,10001,L5,10741,1,10225
915,10052,L6,10987,2,4600
916,10001,L5,10036,1,3800
917,10001,L66,10036,1,3800
918,10376,TX8,10037,1,4300
919,10062,L30,10990,2,1682
928,10363,L20,10366,1,1449
930,10366,TX12,10863,2,899
932,10363,L6,10018,1,10149
933,10018,TX4,10863,1,5149
934,10363,L6,10366,1,1449
937,10862,L29,10864,1,1974
938,10946,L39,10947,2,1425
939,10862,L39,10864,1,1974
940,10946,L29,10947,2,1425
941,10862,L7,11677,1,875
942,11677,TX4,10863,1,1499
943,11677,TX13,10863,2,1500
944,10862,L9,11677,2,899
957,10180,TX4,10863,1,5149
965,10862,TX4,11677,2,849
972,10862,TX13,11677,1,850
977,10111,L12,10066,1,4874
978,10018,L16,10222,1,2575
979,10111,L12,10017,1,4375
980,10180,L23,10222,1,2250
981,10003,L1,10007,1,2324
982,10018,L3,10948,1,2200
983,10018,L6,10948,1,2274
984,10111,L13,10180,2,5925
985,10111,L13,10036,2,7625
986,10063,L30,10996,2,1232
987,10111,L13,10034,2,6800
988,10005,L1,10007,1,824
989,10111,L18,10180,2,4449
990,10111,L18,10323,2,6224
991,10111,L18,10034,2,5324
992,10111,L36,10619,2,3474
993,10111,L7,10364,2,8850
994,10364,L6,10948,1,12249
